name_x,identifier,name_y,unique_name,key_cricinfo,key_cricinfo_2
P Simran Singh,9418198b,P Simran Singh,P Simran Singh,1161024.0,
VG Arora,7c3b3b78,VG Arora,VG Arora,1209292.0,
A Manohar,0890552f,A Manohar,A Manohar,778963.0,
Anuj Rawat,c8f5f961,Anuj Rawat,Anuj Rawat,1123073.0,
DJ Mitchell,eade4650,DJ Mitchell,DJ Mitchell,381743.0,
DS Manohar,b35f3ac8,DS Manohar,DS Manohar,30900.0,
D Pretorius,11614d87,D Pretorius,D Pretorius,327830.0,
SS Prabhudessai,9385de2e,SS Prabhudessai,SS Prabhudessai,1083851.0,
B Sai Sudharsan,d5130a30,B Sai Sudharsan,B Sai Sudharsan,1151288.0,
AS Roy,e4cdf230,AS Roy,AS Roy,1079839.0,
B Indrajith,ff1e68fa,B Indrajith,B Indrajith,477069.0,
Harshit Rana,77b1aa15,Harshit Rana,Harshit Rana,1312645.0,
Shivam Mavi,c38d3503,Shivam Mavi,Shivam Mavi,1079848.0,
Kartik Tyagi,5d2eea49,Kartik Tyagi,Kartik Tyagi,1122918.0,
RV Patel,60500956,RV Patel,RV Patel,1201520.0,
SP Jackson,acc1aeda,SP Jackson,SP Jackson,237696.0,
KS Sharma,39ed0d2f,KS Sharma,KS Sharma,1246518.0,
C Sakariya,2cdce1be,C Sakariya,C Sakariya,1131754.0,
HE van der Dussen,9948e262,HE van der Dussen,HE van der Dussen,337790.0,
KL Nagarkoti,b4f5c2d9,KL Nagarkoti,KL Nagarkoti,1070188.0,
KR Sen,2e78f685,KR Sen,KR Sen,1163695.0,
KS Bharat,44a89551,KS Bharat,KS Bharat,529436.0,
A Totre,b1d7d7bc,A Totre,A Totre,961323.0,
Chirra Ravikanthreddy,8b680f55,Chirra Ravikanthreddy,Chirra Ravikanthreddy,391442.0,
K Kartikeya,f6d8a7ab,K Kartikeya,K Kartikeya,1159843.0,
M Theekshana,f24c6701,M Theekshana,M Theekshana,1138316.0,
Shakti Singh,eb90d319,Shakti Singh,Shakti Singh,33922.0,
Vinod Seshan,a3357a27,Vinod Seshan,Vinod Seshan,723245.0,
M Jansen,81c36ee9,M Jansen,M Jansen,696401.0,
MV Saidharshan Kumar,54b6007b,MV Saidharshan Kumar,MV Saidharshan Kumar,777551.0,
Shashank Singh,26989d80,Shashank Singh,Shashank Singh,377534.0,
V Narayan Kutty,4bacee3d,V Narayan Kutty,V Narayan Kutty,31899.0,
S Dube,a4e37e47,S Dube,S Dube,714451.0,
A Badoni,872b03f7,A Badoni,A Badoni,1151270.0,
Lalit Yadav,ad427b5c,Lalit Yadav,Lalit Yadav,930189.0,
PBB Rajapaksa,6c882e9a,PBB Rajapaksa,PBB Rajapaksa,342619.0,
Prakash Bhatt,f848ab0b,Prakash Bhatt,Prakash Bhatt,26923.0,
RD Chahar,2ed569a0,RD Chahar,RD Chahar,1064812.0,
N Pandit,4947c258,N Pandit,N Pandit,391525.0,
R Sanjay Yadav,33ffc3dd,R Sanjay Yadav,R Sanjay Yadav,1048841.0,
T Natarajan,ce794613,T Natarajan,T Natarajan,802575.0,
