"","0","1","2","4","6","Wicket"
"0",4944,1248,0,184,1619,0
"1",3818,1877,0,266,2395,0
"2",575,327,0,46,481,0
"4",1405,436,0,52,655,0
"6",368,198,0,17,483,0
"Wicket",421,311,0,22,358,0
