"","0","1","2","4","6","Wicket"
"0",3580,4415,0,0,0,0
"1",2106,6250,0,0,0,0
"2",343,1086,0,0,0,0
"4",1024,1524,0,0,0,0
"6",249,817,0,0,0,0
"Wicket",272,840,0,0,0,0
