"","0","1","2","4","6","Wicket"
"0",3607,471,797,1188,1224,708
"1",2322,719,1354,1261,1737,963
"2",341,97,259,207,359,166
"4",853,148,310,481,527,229
"6",210,36,143,159,380,138
"Wicket",265,66,192,124,280,185
