"","0","1","2","4","6","Wicket"
"0",3380,2184,637,980,404,410
"1",2791,3271,722,812,407,353
"2",437,498,157,148,98,91
"4",984,752,220,371,123,98
"6",306,379,76,129,116,60
"Wicket",373,395,108,97,79,60
