"","0","1","2","4","6","Wicket"
"0",3384,2077,653,977,439,465
"1",2623,3256,752,823,485,417
"2",418,478,154,156,115,108
"4",953,738,224,371,144,118
"6",278,375,79,127,139,68
"Wicket",341,380,114,101,95,81
