"","0","1","2","4","6","Wicket"
"0",4583,3409,0,0,3,0
"1",3083,5269,0,0,4,0
"2",465,963,0,0,1,0
"4",1225,1321,0,0,2,0
"6",338,728,0,0,0,0
"Wicket",375,734,0,0,3,0
