"m","accuracy","avg_class_accuracy","f1"
2,0.334340293203021,0.219180796235073,0.215616306067947
3,0.336605952909818,0.217003563467538,0.214636708555263
4,0.336206130608618,0.214997259612558,0.212848217203299
5,0.33718347401155,0.215873266849831,0.213874975455226
6,0.335184362505553,0.212502671471775,0.210740269565257
7,0.338071968014216,0.214929965810553,0.213147281878621
8,0.336916925810751,0.214522934363093,0.212697302482356
9,0.33758329631275,0.214746203696269,0.212951749804739
10,0.335850733007552,0.211462784974248,0.209860822014024
11,NA,NA,NA
12,NA,NA,NA
13,NA,NA,NA
14,NA,NA,NA
15,NA,NA,NA
16,NA,NA,NA
17,NA,NA,NA
18,NA,NA,NA
19,NA,NA,NA
